Website,Date,author_name,related_topics,pdf_links,page_content
https://www.ey.com/en_in/assurance/how-to-improve-the-business-with-an-ehs-data-analytics-strategy,2020-02-18,Rebecca Dabbs,"Assurance, Environment health and safety issues, Climate change and sustainability, Data and decision intelligence",,"

As with most advances in data management, the potential benefits to the business generally correlate with the maturity of the analytical processes in place. Based on our experiences in assisting companies to improve EHS performance, we have established a relationship model (figure 1) between the potential business benefit and EHS analytical capabilities that go from basic data collection and summarization of key performance indicators (KPIs) to automated data collection (robotics) and artificial intelligence (heuristics).
Many companies are currently operating at or near the lower end of the maturity-benefit spectrum by collecting a limited number of EHS data points and calculating lagging summary performance indicators for corporate or regulatory reporting purposes. While this can provide some important EHS performance insight, there may be significant opportunities for your business in updating your EHS data management program to anticipate risk, identify opportunities and protect assets. Companies can make these investments in a phased approach to facilitate their return on investment while transitioning their analytical maturity for EHS data. This approach is similar to that used by many companies when upgrading their analytical capabilities for operational and financial data.
Many organizations fail to recognize the benefits of investing in data visualization and predictive analytics for EHS, even though they have been investing in it for years for financial and operational data.
For example, a research team at Carnegie Mellon University recently developed leading safety indicator statistical and algorithmic analyses that were able to predict workplace incidents with 85% accuracy. Advanced analytics may also be especially valuable for high-performing organizations that may not have sufficient populations of real incident data to create statistically robust analytical models.
Committing to an EHS data analytics and performance management process can provide significant financial and operational returns. For example, according to the Campbell Institute, a leading manufacturer of engine parts implemented a safety observation system that facilitated employee reporting and analysis of unsafe behaviors and conditions that led to incidents, and observed a 50% reduction in recordable injuries from 2010 to 2013.
New and innovative technologies, such as wearables, remote sensors and artificial intelligence, are making it easier than ever to collect, manage and analyze leading EHS data to predict and address areas of risk and inefficiency. These technologies, however, should be coupled with the organizational prioritization of EHS and the ability to recognize the financial benefits of incident prevention, for example:

Having identified that there are clear benefits to leveraging data analytics, it is useful to subsequently develop a clear strategic road map when advancing the EHS data visualization and data analytical capabilities of an organization. The following factors could ease an organization’s transition and enhance its IT investments:
- IT data alignment:data visualization and analytics require companies to collect uniform, consistent and accurate data. Assessing and aligning data collection processes, management systems, hardware and analytical procedures across the enterprise can increase the availability and potency of analytics that can be performed. They also help identify where streamlining of data processes can begin.
- End-user uptake and usage:collecting data at lower organizational levels may require simplified user interfaces and collection prompts that allow for timely and accurate gathering of information across multiple topical areas. Data collection is often predicated on how easily users can access data entry points and quickly enter relevant information for analysis.
- Reducing complexity where possible:develop data visualization and analytics so that the user is involved and accepts the changes, the resulting output is effective, and the data architecture and analytical procedures are low maintenance.
Technology is rapidly changing the way companies approach EHS. More and more, investors are expecting detailed analysis and disclosures on past performance and future strategies. EY can assist you in developing and implementing your data and analytics strategy. Our EHS and IT professionals across the globe can help you identify and implement leading practices in EHS data and analytics to meet investor demands.
This material has been prepared for general informational purposes only and is not intended to be relied upon as accounting, tax or other professional advice. Please refer to your advisors for specific advice.
Certain services and tools may be restricted for EY audit clients and their affiliates to comply with applicable independence standards. Please ask your EY contact for further information."
https://www.ey.com/en_in/assurance/forensic-integrity-service-offerings,2024-06-21,,,,
https://www.ey.com/en_in/assurance/sustainability-supply-chain-advisory,2024-07-22,,,,
https://www.ey.com/en_in/assurance/privacy-cyber-response,2024-07-15,,,,"- Cyberattacks and operational resilience(pdf)
- Unique considerations in managing risks of a ransomware attack(pdf)
- Cyber forensic detection services(pdf)
- Responding to cybercrime incidents in India(pdf)"
https://www.ey.com/en_in/assurance/forensic-data-analytics,2022-09-08,,,,"With the growing sizes of data sets uncovered during litigation and regulatory response, EY teams support legal counsel and compliance executives by analyzing different data sources to uncover links, patterns and anomalies, and by presenting findings in a usable form as evidence in legal proceedings. Leveraging  years of experience in working alongside regulators, law enforcement and litigants, the teams bring strategic thinking in helping organizations formulate their legal and regulatory responses. EY professionals work with in-house and outside counsel, as well as other stakeholders, to identify, collect, preserve and analyze relevant data, lightening the organization’s operational burden of trying to perform these labor-intensive projects internally.
Services include:
- Digital forensics and investigation
- Remediation and claims management
- Legal department modernization
Download theEY forensic data analytics for legal and compliance response(pdf) brochure for more details.

The use of data and technology presents a range of risks that can cause significant disruption to a business. Compounding the problem is the fact that data protection and privacy regulations are intensifying around the world. Privacy and security are also converging, with the common goal of protecting private information. Besides privacy and security, the use of AI and analytics can bring other legal and compliance concerns. EY teams perform document and contract reviews, fact-finding interviews, digital forensics, forensic data analytics and other analyses to identify various scenarios of data protection and compliance violations. Their investigations and inquiries focus on a wide range of potential triggers, such as data removal, data transmission, encryption, third-party misuse, AI and analytics.
Services include:
- Digital forensics and investigation
- AI and data analytics review
- Data mapping and governance
- Vendor data due diligence
- Data privacy and compliance
- Data recovery
Download our brochures for more details:
- EY Data Integrity Services(pdf)
- EY Vendor Data Due Diligence Services(pdf)

EY teams use analytics to help organizations effectively identify, prevent and remediate legal and compliance risks by identifying gaps in their internal controls, increasing risk transparency and improving decision-makers’ understanding of business risks. Whether applying behavioral science to identify red flags outside of the security baseline, implementing monitoring programs to detect noncompliance or performing remediation analysis, the teams work with organizations to lower the probability and severity of losses from noncompliance. In addition, they help organizations gain operational efficiency by applying insights from compliance efforts to broader risk and business initiatives.
Services include:
- Managing employee conduct risk
- Exam management
- Digital contract review
- Loss prevention
Download our brochures for more details:
- EY Digital Contract Review Services(pdf)
- EY Digital Loss Prevention Services(pdf)
- EY forensic data analytics for integrated banker surveillance(pdf)
- Managing conduct risk in the transformative age(pdf)

- Managing Insider Threats(pdf)
- Global Forensic Data Analytics Survey 2018(pdf)
- Transform compliance with smarter RPA(pdf)"
https://www.ey.com/en_in/assurance/transaction-forensics,2024-06-24,,,,"- Conduct integrity forensic due diligence, including background analysis on key executives and counterparties
- Assess the risks that may cause significant reputational or financial damage (fraud, bribery and corruption, money laundering, economic sanctions, and conflict of interest)
- Strategize recurring vs. nonrecurring risk reduction, including existing compliance program assessment and integration
- Government contract forensics due diligence (e.g., exposure to risks of  bribery in contracting)
- Perform fact-finding and transaction testing

- Focus the outcome of commercial negotiations by working with you and your advisors to incorporate specific provisions within the SPA
- Advise on the merits of different purchase-price mechanisms (e.g., locked box vs. completion accounts)
- Support pre-signing negotiations (e.g., treatment of debt, cash and working capital, appropriate earn-out target, permitted leakage)

- Perform completion account trial runs (e.g., net working capital, earn-out)
- Assist with the estimation process of closing net debt and working capital for determining initial consideration payable at completion
- Focus the outcome of commercial negotiations by working with you and your advisors to incorporate specific provisions within the sale and purchase agreement
- Advise on the merits of different purchase-price mechanisms (e.g., Locked Box vs Completion Accounts)
- Support pre-signing negotiations (e.g. treatment of debt, cash and working capital; appropriate earn-out targets; permitted leakage)

- Assist with the development of anti-fraud, anti-bribery and anti-corruption compliance programs
- Conduct post-closing risk assessments; advise on compliance risk programs and perform compliance monitoring
- Leverage data analytics to perform enhanced due diligence with additional data from the acquired business, post-transaction
- Conduct fraud investigations

- Advise and assist with the preparation or review of completion accounts
- Formulate positions and identify supporting documentation for adjustments
- Assist management with requests for information to the other party
- Prepare the objection notice

- EY Transaction Forensics(pdf)
- EY Forensics - pricing mechanisms during covid-19 navigating a route to value(pdf)"
https://www.ey.com/en_in/assurance/treasury-services,2022-10-26,,,,"- Define treasury transformation project scope and timeline, and review the organizational treasury structure, processes and related technologies
- Measure the functional activities of your treasury department and apply an industry-based maturity spectrum for a high-level view of the current state
- Define high-level future state vision and identify how to achieve the desired level of maturity of your treasury department

- Provide leading practice examples and address interdependencies with other processes
- Develop future state treasury processes across functional areas
- Create future state road maps, goals and objectives, and a detailed project plan

- Develop an implementation project plan for various work streams, and document objectives and key milestones
- Leverage EY tools, enablers and accelerators to shorten project timelines, eliminate potential rework and limit project fatigue in larger-scale transformational projects
- Continuously carry out pulse checks and communicate the findings

- Help in re-deploying resources so that you can focus on strategic activities and business partnering
- Improve services by doing more, with fewer resources, in a short period of time"
https://www.ey.com/en_in/assurance/virtual,2024-06-24,,,,"- Data management: By blending data from multiple sources, EY Virtual integrates your raw structured and unstructured data in real-time and transforms it.
- Workflow and questionnaires: Supporting your teams through guided workflows, EY Virtual gives you a structured process for managing risk assessment cases.
- Dashboards and reports: Leveraging dynamic reports and dashboards, EY Virtual gives you tailored and data-driven analytics for informed decision making.
- Workspaces: Combining components from our apps, Microsoft Azure, and third party apps, EY Virtual enables ad-hoc analysis within an on-demand, collaborative analytical environment.

- Automation: Bots automate routine task adhering to rules based on regulatory expectations and business risk priorities. Bots include data collection/ingestion and risk triage.
- Machine learning: AI continuously refines models leveraging knowledge gained from investigations and feedback from human review.
- Natural language processing: This mines unstructured text-based documents, extracts the key information and converts it into structured information.
- Reusable models: These models leverage common, reusable data modelling that is built using EY domain knowledge.



Learn more about theEY and Microsoft Alliance.
We bring the best legal and compliance tools in one place, giving your teams access with a single point of entry so that they can manage their work and processes from one secure place."
https://www.ey.com/en_in/assurance/how-new-technology-and-skills-can-help-rebuild-trust-in-business,2020-06-29,Peter Wollmert,"Assurance, Financial accounting advisory services, Trust, Reporting insights",,
https://www.ey.com/en_in/assurance/discovery-services,2024-06-24,,,"https://assets.ey.com/content/dam/ey-sites/ey-com/en_gl/topics/assurance/assurance-pdfs/how-recent-doj-activities-signal-importance-of-data-analytics.pdf?download, https://assets.ey.com/content/dam/ey-sites/ey-com/en_gl/topics/assurance/assurance-pdfs/ey-ediscovery-saas-options.pdf?download","EY teams provide a broad range of data processing services to help clients manage discovery needs on cases of all sizes, facilitated through multiple hosting options. EY services include:
- Collecting, processing, normalizing, culling and hosting data
- Redacting data for cross-border transfer
- Providing efﬁcient web-based review capability
- Formatting select electronic records for production
Download theEY Discovery Data Servicesbrochure (pdf) for more details.

EY teams of full-time and contract review professionals are led by leadership who possess deep industry, legal and technology knowledge. Striving to meet the specific needs of each matter, EY teams provide a range of services that include:
- Scaling flexible sourcing model to a wide spectrum of matters, large or small
- Developing and helping implement data and document review protocols that focus on cost efficiency
- Helping implement analytics and custom workflows to assess review quality and reduce review time
- Upholding a repeatable and consistent quality control process
- Helping organizations improve compliance effectiveness and enhance operational efficiency throughdigital transformationof contract management
Download our brochures for more details:
- EY Managed Review Services(pdf)
- EY Digital Contract Review Services(pdf)

By focusing on cost-saving measures and efficient, proportionate processes, EY teams help organizations modernize their legal department operations. EY services include:
- Developing customized workflows to identify and integrate diverse data sources
- Formulating strategies to securely process and transfer data per applicabledata protection and privacyregulations and laws (e.g., GDPR)
- Balancing in-sourcing and outsourcing arrangements
- Assessing and improving discovery programs and procedures
- Information governance
Download theEY Discovery Consultingbrochure (pdf) for more details.

- Forensic services offerings in the wake of the COVID-19 Outbreak(pdf)
- Analytics and AI in EY Discovery(pdf)
- Managed eDiscovery services(pdf)
- Information governance solution for GDPR compliance(pdf)
- Information and data governance services(pdf)"
https://www.ey.com/en_in/assurance/forensic-investigations-compliance,2024-06-24,,,"https://assets.ey.com/content/dam/ey-sites/ey-com/en_gl/topics/assurance/assurance-pdfs/ey-compass-pacesetter-research-reputational-risk-2023-2024.pdf?download, https://assets.ey.com/content/dam/ey-sites/ey-com/en_gl/topics/assurance/assurance-pdfs/ey-integrity-compliance-ethics.pdf?download, https://assets.ey.com/content/dam/ey-sites/ey-com/en_gl/topics/assurance/assurance-pdfs/how-recent-doj-activities-signal-importance-of-data-analytics.pdf?download","- Forensic Service offerings in the wake of the COVID-19 outbreak(pdf)
- Make integrity count to strengthen your business(pdf)
- The changing dynamics of white-collar crime in India(pdf)
- ISO 37001- The first international standard on anti-bribery management systems(pdf)
- Bangladesh’s risk landscape analyzing the undercurrents(pdf)"
https://www.ey.com/en_in/assurance/forensic-claims-disputes,2024-06-24,,,https://assets.ey.com/content/dam/ey-sites/ey-com/en_gl/topics/assurance/assurance-pdfs/ey-integrity-compliance-ethics.pdf?download,"- Helping your business handle disruptions due to COVID-19(pdf)
- Considerations for governments dealing with COVID-19 business interruption claims(pdf)
- Claiming government financial support for COVID-19-related business interruptions(pdf)"
https://www.ey.com/en_in/aging,2022-08-25,,,,
https://www.ey.com/en_in/automotive-transportation,2024-05-31,,,,
https://www.ey.com/en_in/automotive-transportation/how-automotive-shop-floors-will-evolve-and-embrace-digital-post-covid-19,2021-03-15,Vinay Raghunath,"Automotive, Mobility, COVID-19",https://assets.ey.com/content/dam/ey-sites/ey-com/en_in/topics/automotive-and-transportation/automotive-shop-floors/now-next-and-beyond-auto-factory-of-the--future.pdf?download,"The auto industry in India has been under recessionary conditions between July 2018 and January 2020 due to certain regulatory changes, need to shift to electric vehicles and changes in consumer preferences. With the COVID-19 pandemic outbreak, another crisis has hit all industries hard across the world.
Theauto sector in Indiais likely to witness further slowdown in demand, non-availability of labor, concerns on health and safety management on the shop- floor. This report reflects upon what the automotive OEMs need to do NOW, and how they should respond with  an increased pace of adoption of hyper-intelligent digital technologies in the NEXT, thereby building resilience to such events in the BEYOND phases for the auto manufacturing sector. It answers the question: What should the automotive industry do to achieve resilience and develop immunity against market uncertainties in future?
The ongoing nationwide lockdown to contain the virus has led to a significantly negative impact on both the macroeconomy and auto sector. It has amplified the sector’s existing vulnerabilities by disrupting both manufacturing and supply chain. The automotive industry had an expected loss of 7.5 lakh units in production in March 2020 alone, which is ~1% of the total units produced in 2019, because of the lockdowns to combat the Covid-19 outbreak. Even after the lockdown is lifted, it will take 6 -18 months for demand to pick up. Due to the disruption, sales are likely to plunge by another ~20% as compared to 2019.
Due to growing apprehensions during the lockdown, workmen are refraining from attending work.
Some shop floors have been left deserted. Further, due to large scale migration of labour across India, availability & redeployment of contract labour post lockdown is a major concern. Contract labour accounts for more than half of India’s auto industry’s workers. The lockdown could lead to several complexities around supply of contract labour forcing companies to automate and thereby reducing the reliance on contract labour.
On the other hand, the cycle of money flow from customers to dealers to OEMs and ultimately to Tier 1 and 2 suppliers has been disrupted, leaving behind an outstanding of INR500 – 1000 crore in this short period. An estimated INR 20,000 crore worth of unsold inventory is currently lying with the auto manufacturers and revenue loss/day of about ~INR 2,300 crore is estimated for the auto sector in India.
What should the organizations do to proactively prepare for post lockdown scenarios (NOW):
- Employee safety is paramount: Use of right protective gear, face shield, gloves.
- Social distancing as per new norms.
- Staggered shift schedule as per GOI guidelines.
- Developing an Infectious Disease Preparedness and Response Plan.
- Caution in use of equipment on the shop floor.
- Redefining or modifying plant layouts to reduce man to machine ratio.
- Redefine SOPs to accommodate the post-COVID working environment.
What is the ‘New Normal’ for the automotive manufacturers and component suppliers?
Digital adoption on manufacturing shop floors in India is at a nascent stage. As per EY Digital Manufacturing India Survey 2019, only 23% of the large manufacturing firms in India have a clear digital strategy. However, unlike other industries, the Automotive shop floor still leads in the adoption of emerging technologies in India. A few factories in India are using substantial automation in their production lines – physical robots, Automated Guided Vehicles, Artificial Intelligence, Machine Learning, and Predictive maintenance.
Smart factory combines traditional manufacturing excellence approach with IT-OT integration to significantly increase performance. The exhibit below illustrates a typical journey towards digital maturity; starting from implementing manufacturing excellence frameworks to embedding it in daily processes through digital applications and finally leveraging emerging technologies to build an ecosystem that is smart and optimized in performance."
https://www.ey.com/en_in/automotive-transportation-future-retail,2024-05-30,,,,
https://www.ey.com/en_in/banking-capital-markets,2024-06-07,,,,
https://www.ey.com/en_in/banking-capital-markets/how-cognitive-investigator-is-taking-a-bite-out-of-financial-crime,2019-06-06,,,,
